,Lasker18Sc122_1_D0051_MM,Lasker18Sc122_3_D0052_TT,Lasker18Sc122_5_D0053_TT,Lasker18Sc122_15_D0056_MM,Lasker18Sc122_17_D0057_TT,Lasker18Sc122_19_D0058_TT,Lasker18Sc123_1_D0062_MM,Lasker18Sc123_3_D0063_TT,Lasker18Sc123_5_D0064_TT,Lasker18Sc123_15_D0067_MM,Lasker18Sc123_17_D0068_TT,Lasker18Sc123_19_D0069_TT,Lasker18Sc124_1_D0072_MM,Lasker18Sc124_3_D0073_TT,Lasker18Sc124_5_D0074_TT,Lasker18Sc124_15_D0077_MM,Lasker18Sc124_17_D0078_TT,Lasker18Sc124_19_D0079_TT,Lasker18Sc126_1_D0084_MM,Lasker18Sc126_3_D0085_TT,Lasker18Sc126_5_D0086_TT,Lasker18Sc126_15_D0089_MM,Lasker18Sc126_17_D0090_TT,Lasker18Sc127_1_D0094_MM,Lasker18Sc127_3_D0095_TT,Lasker18Sc127_5_D0096_TT,Lasker18Sc127_15_D0099_MM,Lasker18Sc127_17_D0100_TT,Lasker18Sc127_19_D0101_TT,Lasker18Sc128_1_D0104_MM,Lasker18Sc128_3_D0105_TT,Lasker18Sc128_7_D0107_TT,Lasker18Sc128_15_D0109_MM,Lasker18Sc128_16_D0110_TT,Lasker18Sc128_19_D0111_TT,Lasker18Sc129_1_D0115_MM,Lasker18Sc129_3_D0116_TT,Lasker18Sc129_5_D0117_TT,Lasker18Sc129_15_D0120_MM,Lasker18Sc129_17_D0121_TT,Lasker18Sc129_19_D0122_TT,Lasker18Sc130_1_D0126_MM,Lasker18Sc130_3_D0127_TT,Lasker18Sc130_5_D0128_TT,Lasker18Sc130_15_D0131_MM,Lasker18Sc130_17_D0132_TT,Lasker18Sc130_19_D0133_TT,Lasker18Sc132_1_D0136_MM,Lasker18Sc132_3_D0137_TT,Lasker18Sc132_5_D0138_TT,Lasker18Sc132_15_D0141_MM,Lasker18Sc132_17_D0142_TT,Lasker18Sc132_19_D0143_TT,Lasker18Sc133_1_D0146_MM,Lasker18Sc133_3_D0147_TT,Lasker18Sc133_5_D0148_TT,Lasker18Sc133_15_D0151_MM,Lasker18Sc133_17_D0152_TT,Lasker18Sc133_19_D0153_TT,Lasker18Sc134_1_D0157_MM,Lasker18Sc134_3_D0158_TT,Lasker18Sc134_5_D0159_TT,Lasker18Sc134_15_D0162_MM,Lasker18Sc134_17_D0163_TT,Lasker18Sc134_19_D0164_TT,Lasker18Sc135_1_D0167_MM,Lasker18Sc135_15_D0172_MM,Lasker18Sc135_17_D0173_TT,Lasker18Sc135_19_D0174_TT,Lasker18Sc138_1_D0177_MM,Lasker18Sc138_15_D0182_MM,Lasker18Sc140_1_D0187_MM,Lasker18Sc140_15_D0192_MM,Lasker18Sc142_1_D0198_MM,Lasker18Sc142_15_D0203_MM,Lasker18Sc143_1_D0208_MM,Lasker18Sc143_15_D0213_MM,Lasker18Sc145_1_D0218_MM,Lasker18Sc145_3_D0219_TT,Lasker18Sc145_5_D0220_TT,Lasker18Sc145_15_D0223_MM,Lasker18Sc145_17_D0224_TT,Lasker18Sc145_19_D0225_TT,Lasker18Sc150_1_D0228_MM,Lasker18Sc150_3_D0229_TT,Lasker18Sc150_5_D0230_TT,Lasker18Sc150_15_D0233_MM,Lasker18Sc150_17_D0234_TT,Lasker18Sc150_19_D0235_TT,Lasker18Sc151_1_D0239_MM,Lasker18Sc151_3_D0240_TT,Lasker18Sc151_5_D0241_TT,Lasker18Sc151_15_D0244_MM,Lasker18Sc151_17_D0245_TT,Lasker18Sc151_19_D0246_TT,Lasker18Sc153_1_D0249_MM,Lasker18Sc153_3_D0250_TT,Lasker18Sc153_5_D0251_TT,Lasker18Sc153_15_D0254_MM,Lasker18Sc153_17_D0255_TT,Lasker18Sc153_19_D0256_TT,Lasker18Sc154_1_D0259_MM,Lasker18Sc154_3_D0260_TT,Lasker18Sc154_5_D0261_TT,Lasker18Sc154_15_D0264_MM,Lasker18Sc154_17_D0265_TT,Lasker18Sc154_19_D0266_TT,Lasker18Sc158_1_D0269_MM,Lasker18Sc158_3_D0270_TT,Lasker18Sc158_5_D0271_TT,Lasker18Sc158_15_D0274_MM,Lasker18Sc158_17_D0275_TT,Lasker18Sc158_19_D0276_TT,Lasker18Sc126_15_D1030_MM
ASV_94,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,733,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ASV_109,0,2,0,1,0,2,6,3,2,20,0,0,12,26,11,31,984,31,110,14,20,36,18,18,10,8,23,30,38,55,75,1,43,11,5,12,6,7,38,33,34,30,0,7,296,31,86,62,3,0,7,11,8,17,1,0,18,0,0,0,15,2,10,6,4,0,66,139,35,3,4,79,142,10,6,58,412,0,0,0,61,11,23,26,245,18,33,13,4,0,21,0,2,0,0,0,11,0,0,0,0,11,0,0,0,0,0,58,72,40,0,2,0,11
ASV_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_115,0,1,0,0,0,0,0,0,0,0,11,2,0,7959,0,2,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_126,1,0,0,6,0,0,7,0,0,13,0,0,24,0,0,40,0,0,252,0,0,25,0,13,0,0,20,0,0,2470,0,0,42,0,0,18,0,0,25,0,0,26,0,0,74,0,0,15,0,0,6,0,0,17,0,0,20,0,0,0,0,0,1,0,0,0,81,0,0,27,5,112,72,15,18,80,30,0,0,0,713,0,0,41,0,0,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,2,0,0,81,0,0,0,0,0,18
ASV_127,0,1,0,1,0,0,8934,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
ASV_156,0,0,0,6,0,4,12,8,4,28,0,3,47,19,24,57,43,60,85,32,27,58,27,13,16,8,128,46,35,65,37,0,44,16,10,22,13,18,44,28,79,39,0,9,133,9,19,14,484,0,6,16,6,29,0,0,15,0,0,0,5,10,99,2,14,0,81,72,48,2,18,117,68,10,19,99,43,0,0,0,74,322,27,54,19,29,44,16,8,0,23,0,1,0,0,0,13,0,1,0,0,19,0,0,0,0,0,78,75,62,1,19,0,14
ASV_158,0,1,0,1,0,0,0,0,0,4,0,0,5,2,8,5,10,8,10,2,7,6,3,13,4,2,5,3,4,7,6,0,6,1514,1,0,0,7,9,5,16,4,0,3,17,2,5,4,1,0,0,7,6,4,2,0,9,0,0,0,0,3,0,0,2,0,10,12,7,1,501,524,4,4,6,16,9,1,0,0,10,3,4,11,6,5,12,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,11,1,0,0,1
ASV_160,0,1,0,0,0,0,0,2,2,0,1,0,0,6,1,0,580,10,0,3,5,0,10,0,2,24,0,7,8,0,6,1,0,8,6,0,1,9,0,6,18,0,0,3,0,1,9,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,3,381,0,7,4,0,5,2,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,67,1034,0,4,0,0
ASV_164,0,27,6,0,1,11,0,163,79,0,17,30,0,368,322,0,1172,925,0,593,500,0,659,0,279,320,0,746,821,0,1046,36,0,423,246,0,232,360,0,582,1326,0,1,360,0,336,563,0,188,0,0,406,582,0,46,0,0,0,0,0,101,72,0,210,365,0,0,1123,771,0,0,0,0,0,0,0,0,0,0,0,0,187,790,0,346,306,0,349,174,0,822,0,0,1,0,0,327,1,0,2,0,0,0,0,0,0,0,0,1324,818,0,38,0,0
ASV_178,0,2,0,0,1,0,0,2,2,0,3,1,0,0,1,0,0,7,0,0,2,0,1,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,2,1,0,1,0,0,0,5,0,1,0,0,0,5,0,0,1,0,0,3,0,0,2,0
ASV_188,0,0,0,6,0,0,10,0,0,15,0,0,32,0,0,62,0,0,51,0,0,49,0,15,0,0,27,0,0,49,0,0,55,0,0,9,0,0,33,0,0,23,0,0,66,0,0,15,0,0,2,0,0,15,0,0,25,0,0,0,0,0,7,0,0,1,85,0,0,4420,9,95,45,11,37,85,45,0,0,0,76,0,0,48,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,54,0,0,0,0,0,8
ASV_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,73,0,8,0,0,0,0,0,0,0,111,0,259,0,0,0,24,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ASV_207,0,0,0,0,0,0,0,0,0,3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_237,0,1,0,0,0,1,0,8,0,0,0,3,0,17,13,0,41,61,0,23,18,0,23,0,10,10,0,24,33,0,37,2,0,20,12,0,18,12,0,21,60,0,0,7,0,24,25,0,15,0,0,13,18,0,1,0,0,0,0,0,1,2,0,10,16,0,0,62,28,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0,17,13,0,13,7,0,68,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,87,40,0,1,0,0
ASV_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_275,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
ASV_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5547,0,1331,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3634,1,0,0,0,0,0,0,0,1,768,0,0,0,0,0,0,0,0
ASV_315,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
ASV_316,0,46,4,0,0,0,0,472,163,0,50,0,0,78,0,0,0,2,0,293,150,0,91,0,271,398,0,0,0,0,86,321,0,0,109,0,46,61,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0
ASV_321,0,0,1,0,0,0,0,2,0,0,0,0,0,4,3,0,14,17,0,8,7,0,6,0,17,6,0,13,6,0,21,0,0,10,2,0,6,6,0,1471,16,0,0,1,0,2,2,0,3,0,0,7,6,0,0,0,0,0,0,0,1,0,0,3,1,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,6,2,0,7,1,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,23,15,0,0,0,0
ASV_335,0,1,0,0,0,0,0,5,7,0,0,1,0,27,33,0,49,137,0,33,27,0,30,0,91,24,0,34,50,0,51,3,0,27,7,0,15,12,0,43,69,0,0,23,0,9,15,0,13,0,0,14,26,0,2,0,0,0,0,0,6,3,0,7,8,0,0,73,56,0,0,0,0,0,0,0,0,0,0,0,0,9,69,0,57,1778,0,16,13,0,40,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,73,65,0,2,0,0
ASV_347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,352,80,0,0,0,0,0,0,0,0,0,0,2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,1667,0
ASV_357,0,0,0,0,0,0,0,0,0,0,3131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_360,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,1,0,2,2,0
ASV_365,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2377,539,0,0,0,0,0
ASV_413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_462,0,1,0,5,0,0,49,5,4,23,0,1,48,19,20,38,346,119,459,50,30,65,16,14,16,32,33,38,42,73,60,0,64,53,9,14,9,7,56,51,75,41,0,16,115,14,19,28,10,0,14,17,24,30,0,0,25,0,0,0,5,5,3,13,41,0,83,57,65,7,11,192,102,13,15,136,75,0,1,0,91,6,67,56,80,26,54,26,7,0,55,0,2,0,0,0,26,0,0,0,0,19,0,0,0,0,0,130,76,38,0,2162,3,175
ASV_501,0,1,1685,0,0,0,0,8,645,0,2,0,0,0,1,0,0,0,0,7,1,0,2,0,10,11,0,0,0,0,3,13,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0
ASV_513,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
ASV_529,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
ASV_537,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,732,0,530,0,443,0,0,0,1,0,0,0,0,0,0,236,137,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
ASV_548,0,0,0,0,0,0,0,0,0,165,234,0,0,0,0,195,20,0,0,0,102,0,0,0,0,0,0,0,0,135,0,0,139,14,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
ASV_559,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
ASV_576,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,3149,0,0,16,0,20,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV_588,0,0,0,0,0,0,24,0,0,45,0,0,0,0,0,0,0,0,14,0,0,10,0,37,0,0,0,0,0,14,0,0,1,0,0,15,0,0,0,0,0,40,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,148,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ASV_609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_611,0,1,0,3,0,5,4,1,0,6,0,0,6445,7,4,6,7,9,11,10,4,7,8,1,5,7,4,2,9,15,17,0,6,4,0,1,15,0,8,7,18,9,0,1,19,0,3,8,3,0,1,1,1,4,0,0,4,0,0,0,0,1,1,1673,1,0,10,8,8,0,1,31,13,13,3,19,16,0,0,0,10,2,7,8,4,4,7,0,0,0,8,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,16,17,12,2,2,0,1
ASV_612,0,2,5,0,0,0,0,45,19,0,4,0,0,5,0,0,0,0,0,19,30,0,6,0,2044,36,0,0,0,0,5,10224,0,0,10,0,8,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0
ASV_627,0,0,0,0,0,0,1,1,0,14,0,0,3,1,2,5,4,5,16,2,2,37,10,0,3,3,44,23,44,5,2,0,32,15,4,3,0,1,25,27,87,7,0,4,56,23,29,5,2,0,20,20,8,4,0,0,64,0,0,0,5,2,4,10,15,0,60,19,18,2,12,48,33,0,30,3,35,0,0,0,69,12,27,10,3,0,31,12,17,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,14,13,20,0,7,0,17
ASV_632,0,0,0,0,0,0,0,4,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,4,4,0,0,415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
