Family,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc145_3_D0219,Lasker18Sc145_5_D0220,Lasker18Sc145_17_D0224,Lasker18Sc145_19_D0225,Lasker18Sc150_3_D0229,Lasker18Sc150_5_D0230,Lasker18Sc150_17_D0234,Lasker18Sc150_19_D0235,Lasker18Sc151_3_D0240,Lasker18Sc151_5_D0241,Lasker18Sc151_17_D0245,Lasker18Sc151_19_D0246,Lasker18Sc153_3_D0250,Lasker18Sc153_5_D0251,Lasker18Sc153_17_D0255,Lasker18Sc153_19_D0256,Lasker18Sc154_3_D0260,Lasker18Sc154_5_D0261,Lasker18Sc154_17_D0265,Lasker18Sc154_19_D0266,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
Acanthamoebidae,196,1,7,2,9,55,2,0,20,17,12,2,46,11,5,42,31,0,9,2,12,9,7,20,0,31,62,315,0,0,0,118,4,0,0,57,29,0,9,33,2,0,0,0,0,26,1,0,4,119,13,0,0,374,5,0,0,447,0,0,0,218,42,3,0,44,3,3,0
Acartiidae,0,1,4,0,0,3,277,826,0,0,0,0,1,0,142,0,1,185,297,0,1,51,16,0,0,99,378,0,5,179,303,0,0,917,2402,1,776,186,4051,54,746,1044,162,1337,1080,1167,3,1215,6119,1,2,3231,1804,7,0,1958,2299,5,32,13110,4009,2,0,2079,7399,1,44,2328,1972
Achatinellidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,1,10,21,12,4,0,0,3,0,0,0,8,8,18,8,18,9,0,0,7,6,0,0,26,25,0,3,76,99,0,3,26,10
Acinetosporaceae,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeginidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aequoreidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agalmatidae,10,29,2,17,2,16,18,0,0,0,0,1,0,3,0,3,15,0,0,13,4,0,3,6,53,0,4,29,27,0,0,6,6,0,0,9,0,0,0,1,3,0,0,0,0,1,0,0,0,0,6,0,0,5,21,0,0,22,9,0,3,3,36,2,3,2,1,0,0
Aglaopheniidae,16,195,0,2,548,1749,40,7,33,67,142,148,866,637,0,949,1687,7,3,6,68,1,3,16,67,0,0,593,973,3,11,2039,1933,59,17,848,1251,0,4,92,55,9,0,41,6,515,251,2,33,365,1107,76,18,3365,2723,0,35,299,287,13,1,1205,1473,17,39,188,62,8,12
Alariaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0
Alloposidae,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphipleuraceae,0,0,0,0,0,0,1,3,1,8,0,0,0,0,0,0,0,0,6,0,1,10,2,0,13,21,8,0,0,42,45,2,0,51,42,11,0,25,17,8,4,31,22,113,47,0,1,35,87,1,3,88,69,0,0,655,449,1,0,59,57,0,0,111,166,0,6,65,44
Amphiuridae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,226,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,98,0,0,0
Anisolpidiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Annulariidae,4,13,2,3,9,17,0,0,0,0,0,0,22,21,0,13,60,0,0,0,0,0,0,1,18,0,0,1,4,0,0,0,0,0,0,15,0,0,0,10,1,0,0,0,0,22,5,0,0,8,67,0,0,17,0,0,0,17,28,0,0,0,8,0,0,33,20,4,0
Apoikiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apolemiidae,0,17,6,0,0,2,4,0,0,0,0,0,1213,57,0,23,52,0,0,3,11917,0,2,0,11,2,0,2,2,0,0,0,0,0,0,0,0,0,0,24,5,0,0,2,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apusomonadidae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,16,0,0,4,7,0,0,0,0,33,8,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Arcidae,8,20,0,0,3,9,0,0,0,4,0,0,9,3,0,8,8,0,0,0,1,0,0,1,3,0,0,4,4,0,0,2,6,0,0,7,4,0,0,1,0,0,0,0,0,1,2,0,0,2,5,5,0,8,6,6,0,3,4,0,0,12,3,0,0,10,0,0,0
Arthoniaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Arulidae,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascidiidae,0,0,0,0,0,0,0,0,0,0,11,6,0,0,10,0,0,2,2,2,0,400,320,1,0,109,34,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aspergillaceae,20,16,0,2,22,0,13,0,47,0,0,2,0,0,15,22,0,43,1,0,0,0,22,4,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,33,0,0,24,0,0,0,0,0,1,0,0,215,0,7,0,7,0,0,0,21,0,0,1,0,22
Asplanchnidae,12,10,0,0,11,2,0,0,152,0,0,0,12,3,0,22,12,0,0,3,0,0,0,1,2,0,0,118,0,0,0,37,2,0,0,16,0,0,0,5,0,0,0,0,0,5,2,0,0,23,0,0,0,143,17,3,0,150,0,0,0,12,0,0,0,8,0,0,0
Asteriidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axinellidae,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacillariaceae,75,305,2048,1646,50,62,127,115,13,17,56,32,283,299,2252,261,607,9960,7205,29,63,4229,3435,124,196,3741,2998,267,648,4271,5283,202,154,933,681,158,187,12,6,635,628,17,16,1164,858,90,66,9,27,326,448,194,155,87,97,278,315,378,410,18,14,140,88,3173,2106,84,130,266,248
Balaenopteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Balanidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,29,0,0,24,0,5,3,0,0,0,0,0,0,19,11,2,2
Bangiaceae,94,169,0,6,11,77,0,0,12,0,1402,1235,2,4,1,22,33,7,5,0,8,59,25,7,31,20,21,6,29,5,12,40,14,0,1,46,21,1,0,118,40,1,0,1,0,9,44,50,340,284,53,4,1,40,12,6,0,87,47,2,11,6,1,1,7,41,14,5,0
Bathycoccaceae,2,5,939,851,3,18,11,11,0,3,714,785,2,5,243,0,4,31,31,2,0,1542,1397,27,40,351,102,125,121,10,5,28,41,34,61,56,53,84,98,284,355,162,49,0,1,75,37,23,51,237,228,83,75,47,36,4,7,173,234,2,7,29,28,207,119,80,76,48,33
Benthesicymidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastocladiaceae,3,21,0,1,80,258,0,1,1,2,5,1,17,10,0,4,31,0,0,0,0,6,3,11,49,3,10,214,384,1,0,186,159,5,7,227,257,46,38,230,163,3,0,3,5,399,189,0,0,257,445,71,15,534,299,48,17,154,190,37,17,133,123,53,36,310,158,5,18
Bolinopsidae,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185,32,1146,4,22,6,10,0,0,0,1,0,0,0,0,60,14,15,11,2644,4,3,4,14,13,0,0,2,2,8,7,3,1,8,3
Bonelliidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bougainvilliidae,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachionidae,0,0,0,0,0,0,3,0,0,0,0,0,0,0,52,0,0,572,301,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bythograeidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cafeteriaceae,0,72,0,0,0,6,0,0,0,0,0,0,0,9,0,0,201,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,11,15,0,0,0,0,0,0
Calanidae,1,0,0,0,2,5,1843,2087,0,0,118,25,1,0,117,0,141,2050,152,0,4,11,0,1394,1100,1142,129,1,0,24,453,0,5,0,17,0,0,186,366,4373,459,13,0,2188,767,4188,1,896,1862,151,1,407,785,0,0,2,2,4,2,434,81,0,0,6,14,1,22,70,258
Calocalanidae,1,0,2,0,0,743,0,0,1,3771,1,1,0,2517,2,5362,2,2,0,1713,70,0,0,0,1,0,0,0,1,0,0,12,3,0,0,0,2886,0,3,5511,479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,366,2,0,0
Campanulariidae,0,0,3,7,4,4,2,1,0,0,2,1,22,4,0,2,30,12,3,2,0,3,3,49,183,6,51,0,0,0,0,0,10,4,0,21,4,4,0,23,26,0,0,0,0,9,4,0,0,32,26,1,2,19,0,3,0,9,3,1,1,0,6,0,2,8,1,0,0
Candelabridae,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitellidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Carinomidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Caryophylliidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catostylidae,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,2,2,0,0,3,3,0,0,2,6,0,0,1,0,0,0,0,0,2,0,8,0,1,0
Cephalothricidae,23,45,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Ceramiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratobasidiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cestidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocerotaceae,2,15,1,1,8,33,2,10,8,0,50,20,116,110,44,234,345,113,85,9,58,313,180,15,50,337,394,0,16,61,71,4,5,33,24,4,12,21,19,70,47,47,6,13,10,3,2,6,0,14,21,85,42,2,7,52,60,14,11,17,7,0,0,132,107,9,18,61,41
Chaetosphaeridiaceae,0,19,0,3,0,1,0,0,0,2,0,0,1,0,0,2,10,0,0,0,4,0,0,0,0,0,0,0,7,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,2,3,1,3,1,0,0,0,3,0,0,1,0,5,0,6,0,0,0
Chattonellaceae,22,49,18,13,74,281,0,0,41,14,72,42,50,62,0,64,73,0,0,9,12,4,2,7,2,2,3,79,105,2,0,108,101,3,0,45,70,0,0,15,32,0,0,0,0,100,64,0,0,99,85,44,20,235,121,620,464,31,36,31,63,116,60,25,20,55,17,36,22
Chimaeridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Chirodropidae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Chloropicaceae,2,2,5,0,0,0,2,1,0,0,6,6,3,0,3,0,0,10,0,0,0,1,0,0,2,4,4,0,0,2,0,3,0,0,0,7,0,3,2,10,4,0,0,3,0,0,3,3,0,0,0,6,2,1,4,2,0,0,0,0,0,0,0,14,0,0,0,0,1
Chordariaceae,28,132,8,32,50,134,4,4,27,55,250,134,144,75,10,53,304,133,24,30,48,58,43,81,141,89,50,149,202,7,24,120,112,26,25,149,106,72,72,134,101,14,23,149,66,132,97,53,262,308,193,199,100,168,80,693,716,94,157,122,91,158,136,107,105,138,56,123,68
Choristocarpaceae,0,2,0,0,3,50,0,0,0,0,0,0,52,92,0,179,133,0,0,9,67,0,0,0,0,0,0,32,29,0,0,0,44,0,0,46,17,0,0,0,0,0,0,0,0,40,5,0,0,5,0,0,0,0,288,2,0,0,0,0,0,43,29,0,0,0,0,0,0
Chromulinaceae,14,20,64,96,27,118,10,9,14,8,5289,3893,108,92,206,108,280,75,68,20,16,688,569,6,28,1050,688,89,106,6,4,120,144,33,29,157,82,108,133,692,680,17,0,8,3,142,37,0,1,185,187,82,56,252,113,47,70,51,44,36,21,130,102,109,45,131,105,50,63
Chrysochromulinaceae,398,905,4503,4566,748,2035,636,396,400,811,2527,1781,1160,918,520,639,2434,820,464,149,462,3489,2506,366,997,3235,2565,1480,1457,470,354,2133,1842,717,862,1152,1099,2322,2549,1395,1700,2903,2392,377,209,997,549,28,84,1310,1755,1183,906,3840,2306,669,777,787,975,326,473,1239,1403,2015,1552,1074,686,599,425
